"price","checkin","basic","bath","kitchen","security"
480,-0.214466900002352,-0.973132427850282,-1.05710795466239,0.123344271411568,-0.0636590485049365
464,-0.0304296459988671,-0.844803516097758,-1.05710795466239,0.199901198808848,0.660890804184791
400,-0.0304296459988671,-0.686583091855901,-1.05710795466239,0.0571892419024842,0.660890804184791
464,-0.0304296459988671,-0.672179309188947,-1.05710795466239,0,0.660890804184791
394,-0.0304296459988671,-0.672179309188947,-1.05710795466239,-0.0445834542735228,0.660890804184791
428,-0.0951894574028783,-0.531611626514307,-0.580896600016324,0,0.660890804184791
453,0.392704981959354,-0.591385996525525,-1.15494728587477,0.0571892419024842,0.660890804184791
161,-0.525235788249668,-0.564572151412158,-1.25410381658646,0.0571892419024842,0
330,-0.213126447847295,-0.416549801480248,-0.777892461940394,0.123344271411568,0
70,0.0239117815764554,-0.667422438301365,-1.47981046633389,0.11232503351945,0
164,-0.121885041234367,-0.374664201692189,-1.25410381658646,0.0373622547558872,0.782900894627808
272,-0.357442215212348,-0.377229633408136,-1.02686279879776,0.112396191898558,0.660890804184791
383,-0.0494870458848818,-0.676335860224007,-1.05710795466239,-0.0249395877647997,0.660890804184791
383,0.277525523328599,-0.773439948793147,-1.25410381658646,-0.112332632416324,1.30483711399354
371,-0.0494870458848818,-0.676335860224007,-1.05710795466239,0.0571892419024842,1.30483711399354
205,-0.237064499865122,-0.0259186659361674,-1.05710795466239,0.123344271411568,0
266,-0.147073299178715,-0.35087939871458,-1.24793452270611,0.0925692047519613,0.643946309808752
168,0.0656924127458727,-0.395806954469523,-0.777892461940394,0.210737316063092,0.643946309808752
360,0.487975073289355,-0.848674331551067,-1.47981046633389,0.281846907838258,1.36849616249848
288,-0.135904132534985,-0.998694462156423,-1.05710795466239,-0.112332632416324,0
826,-0.227359527770485,-0.998694462156423,-1.05710795466239,0.0571892419024842,0
256,-0.135904132534985,-1.1335122978258,-1.28281460440983,-0.112332632416324,0
205,-0.525235788249668,-0.620166079694905,0.079345000565537,0.123344271411568,0
335,0.277525523328599,-0.790057362388808,-1.25410381658646,-0.0249395877647997,1.30483711399354
83,-0.132170070367607,-0.457053253275278,-0.580896600016324,-0.24448465308237,0
135,0.234280697610088,-0.675049703423967,0,0,0
1709,0.0239117815764554,-0.367983251197488,-1.47981046633389,0,-0.202613633323993
250,-0.34253898640124,-0.565210062520906,-0.146361649181894,0,0
360,-0.34253898640124,-0.693983958467248,-1.05710795466239,0.124938420045285,0
200,0.0853762535443295,-0.0634091560958255,-1.28281460440983,0.11232503351945,0.724549852689727
1203,-0.314866872216035,-0.590097222802026,-0.580896600016324,0,0
207,-0.0555399171346812,-0.59195491022476,-1.7772271318039,0.230564303209689,1.30483711399354
2429,-0.34253898640124,-0.367983251197488,-1.47981046633389,0,-0.202613633323993
2429,-0.34253898640124,-0.367983251197488,-1.47981046633389,0,-0.202613633323993
1500,0.0239117815764554,-0.956134967855247,-1.47981046633389,0,0.138954584819057
161,-0.34253898640124,-0.760479291938591,-0.622573003827964,0,0
124,0.487894439362232,-0.350600969980027,-1.05710795466239,0.143171258558165,0
229,-0.318600934383413,0.152185761972674,-0.580896600016324,-0.185455367443176,0
1869,0.225508326857313,-0.440459580270073,-1.7772271318039,0.355483781958213,1.30483711399354
